位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
成都·武侯区·桂溪,完美世界,游戏,本科,1-3年,12-20K,Golang|双端开发|客户端|服务器,游戏服务器开发工程师（双端偏服务器）
昆明·官渡区·关上,顶流电子商务,电子商务,本科,3-5年,10-11K,计算机/软件工程相关专业|手游开发经验|微信小游戏开发经验,手机游戏开发工程师
洛阳·洛龙区·泉舜广场,星航游戏,游戏,大专,1-3年,6-9K·13薪,后端|Node.js|Golang|Python,游戏服务器开发工程师
福州,贪玩游戏,游戏,学历不限,1-3年,12-18K,不限|C++|C++服务端开发经验|游戏,游戏服务端开发工程师
北京·大兴区·亦庄,京东科技集团,互联网,本科,3-5年,30-50K·16薪,Cocos Creator|JavaScript/TypeScript|HTML5,高级前端开发工程师（游戏方向）
福州·台江区·融侨中心,ONEMT,游戏,本科,3-5年,15-20K·13薪,Cocos2d-x|手游开发经验,游戏客户端开发工程师
广州·黄埔区·中心城,多益网络,互联网,本科,经验不限,15-30K·14薪,Cocos Creator|Cocos2d-x|Unity3D,游戏客户端开发工程师
杭州·西湖区·翠苑,浩天游戏,互联网,本科,在校/应届,7-10K·14薪,下肢残疾|node.js|听力残疾|肢体残疾|轻度/中度听力残疾|Javascript,游戏客户端开发工程师（应届生）
杭州·西湖区·转塘,炭焱网络,游戏,本科,1-3年,10-14K,Unity3D|C#|Lua|Unity3D开发经验|手游开发经验|VR/AR开发经验|C#|UGUI|游戏引擎|Lua|Android,游戏客户端主程
广州·海珠区·琶洲,广州一点灵犀信息技术,游戏,本科,5-10年,35-50K·16薪,C/C++|Lua|3D游戏客户端开发经验|Unity3D开发经验|手游开发经验,阿里灵犀互娱-游戏客户端专家-在研SLG
重庆·渝北区·黄泥塝,厦门钥棠网络科技,游戏,大专,3-5年,11-19K·13薪,Cocos2d-x|C/C++,游戏开发—重庆
温州·瑞安市·玉海,升途,学校/学历教育,大专,经验不限,5-10K,Java|Unity3D|Lua|手游开发经验|计算机/软件工程相关专业|微信小游戏开发经验|传奇,传奇游戏开发
广州·天河区·龙口,九悦互娱,游戏,本科,1-3年,10-13K·13薪,C++|架构设计经验|游戏后端经验|MMORPG,游戏服务端开发
成都·武侯区·新会展中心,乐狗科技,游戏,本科,经验不限,20-40K·13薪,Linux|服务器|go|c++|C|Erlang,游戏服务器开发
上海·闵行区·虹桥,心光流美,游戏,本科,经验不限,15-30K·16薪,数据结构|多线程|网络协议,游戏服务端c++开发
深圳·南山区·科技园,博彦科技,计算机软件,大专,3-5年,9-14K,Python|Golang|Django|MySQL|爬虫经验,后端开发（游戏/Python/go）
上海·松江区·泗泾,桐游网络,游戏,学历不限,经验不限,9-14K·13薪,Cocos2d-x|C/C++|Lua|手游开发经验,游戏客户端开发
福州·台江区·台江万达,博乐互动,游戏,本科,1-3年,10-15K,Cocos2d-x|Cocos Creator|JavaScript/TypeScript|手游开发经验|微信小游戏开发经验,cocos微信小游戏开发
深圳·南山区·前海,OPPO,互联网,本科,3-5年,20-40K·16薪,SQL|分布式技术|多线程|微服务架构|数据结构|负载均衡技术|消息队列|容器技术,互联网Java高级工程师/架构师
徐州·鼓楼区·马场湖,掌间游,游戏,本科,1-3年,7-11K·13薪,Laya|U3D开发|游戏开发|JavaScript|TypeScript|小游戏|cocoscreator|layabox,Laya资深工程师（3D游戏）
长沙·开福区·伍家岭,途游游戏,互联网,本科,经验不限,6-11K,Android|功能测试,游戏测试工程师
武汉·洪山区·关山,泰坦互娱,游戏,大专,1-3年,6-10K·13薪,手游测试经验|丰富的游戏经验|软件测试经验|游戏|功能测试,游戏测试工程师
北京,开心网,游戏,本科,1-3年,15-20K,游戏|服务器端开发,Java游戏服务器工程师
上海·杨浦区·五角场,bilibili,互联网,本科,3-5年,20-30K·15薪,手游测试经验|丰富的游戏经验|开发经验|Java|Python|C++,资深游戏测试工程师
厦门·思明区·软件园,南叁南,互联网,本科,3-5年,10-15K,功能测试|性能测试|手游测试|自动化测试,高级游戏测试工程师
深圳·南山区·科技园,米格姆教育科技,互联网,本科,5-10年,29-45K·16薪,企业内部技术项目管理|计算机相关专业|中大型软件项目管理经验|PMP|PMI-ACP,产研项目管理工程师（游戏）
北京·朝阳区·奥运村,游酷盛世,游戏,本科,3-5年,18-30K,Unity3D,Unity开发
北京,盛丰电子,大数据,本科,5-10年,20-30K,UE4|C/C++|计算机/软件工程相关专业|UE4开发经验|游戏客户端开发经验,高级研发工程师
北京·海淀区·中关村,中国科学院软件研究所,计算机软件,硕士,1-3年,15-30K,C++|C语言|C++服务端开发经验|Linux开发/部署经验|并行计算,C/C++研发工程师
武汉·洪山区·光谷东,微派,互联网,本科,1-3年,15-30K,前端开发|游戏开发|HTML|CSS|JavaScript|CSS3|HTML5|React,前端开发工程师
长沙·岳麓区·麓谷,沃尔信息,游戏,本科,1年以内,8-10K·13薪,C#|C#开发经验|算法|Unity3D|U3D|计算机编程|计算机图形学|数据结构|游戏开发,Unity3D开发工程师（应届本硕，C#）
广州·天河区·岗顶,博创尚讯,大数据,本科,3-5年,20-21K,IOS|游戏|SDK|移动端,SDK高级开发工程师
深圳·南山区·科技园,迷你玩科技游戏,游戏,大专,5-10年,25-50K·15薪,C++|Qt项目开发经验|QT|Lua|游戏,客户端开发工程师（管理向）
北京·西城区·西直门,方舟融创,计算机软件,本科,1-3年,11-22K,C++|QT|STL|Redis|Linux开发/部署经验|图形开发经验|桌面开发经验,c++开发工程师
杭州·余杭区·仓前,移景科技,计算机软件,大专,1-3年,12-16K·13薪,游戏引擎|UE4开发|C++|动画动漫|蓝图|地图导航,UE开发工程师
贵阳·观山湖区·红街,琅科,企业服务,本科,1-3年,5-10K,销售经验|欧洲|会展/会议/拜访推广|日韩|项目管理经验|营销策划能力|B端客户|小语种可作为工作语言|服务|英语可作为工作语言|互联网/科技|北美|文娱/游戏,本地化架构师
长沙·开福区·国际会展中心,芒果tv,互联网,本科,5-10年,15-25K·13薪,Android客户端产品研发,安卓高级开发工程师
南京·雨花台区·小行,荣耀终端有限公司,消费电子,本科,5-10年,40-60K·16薪,Java,资深Java开发工程师
北京·通州区·北关,全民互娱,游戏,大专,3-5年,12-24K,Cocos2dx开发|游戏引擎|C++|JavaScript|Lua|Java|Objective-C|Android,COCOS-JS高级开发工程师
武汉·武昌区·积玉桥,九喻网络科技,游戏,本科,1-3年,8-12K·15薪,网络协议|MySQL,中级Java开发工程师
武汉·洪山区·关山,光喻互动,游戏,本科,1-3年,10-15K·13薪,UE4|C/C++|计算机/软件工程相关专业|游戏客户端开发经验|UE4开发经验,UE4开发工程师
佛山·禅城区·石湾,聚力鸿合,广告营销,本科,3-5年,12-15K,Python|C/C++|Java|前端开发经验|架构师经验|计算机/软件工程相关专业|不接受居家办公,前端开发工程师
武汉·洪山区·花山,吉威,计算机软件,学历不限,3-5年,15-20K,UE4|C/C++|美术/动画基础|UE4开发经验|Shader开发经验|C++|DirectX|BIM|Shader,UE4开发工程师
深圳·南山区·科技园,亿达信息,计算机软件,大专,1-3年,10-12K,UE4|蓝图|Python,虚幻引擎开发工程师
中山·港口镇·港口市场,中山市乐胜科技,游戏,大专,1-3年,10-11K,UE4|Unity3D|美术/动画基础|UE4开发经验,虚幻引擎开发工程师
郑州,因诺网络,移动互联网,大专,3-5年,12-13K,Go|Golang|服务端|Docker,Golang主程/高级开发工程师
武汉·洪山区·珞狮南路,盈通互娱,游戏,学历不限,1-3年,8-11K,游戏引擎|Lua|小程序|移动端,Cocos2dx-Lua 开发工程师
西安·雁塔区·曲江新区,木乐游,游戏,本科,3-5年,10-15K,Cocos Creator|手游开发经验|计算机/软件工程相关专业,cocos前端开发工程师
广州·白云区·京溪,型科科技,计算机软件,大专,1-3年,7-11K,Javascript|HTML/CSS|Node.js|小程序|前端开发|vue| uni-app,Web前端开发工程师
厦门·思明区·厦门大学,优立科技,计算机软件,学历不限,经验不限,18-26K,游戏引擎,计算机图形开发工程师
上海·杨浦区·新江湾城,悦众信息技术有限公司,电子商务,本科,3-5年,30-60K,Windows|微服务架构|高级软件工程师|SQL Server|逆向开发|服务器端开发|Java|.net  core,Steam社区服开发工程师
上海·黄浦区·人民广场,小红书,电子商务,本科,经验不限,30-50K·16薪,图形开发经验|C++|计算机图形学|OpenGL|图形开发/渲染,客户端渲染开发工程师
杭州·西湖区·西湖,蚂蚁集团,互联网,本科,1-3年,30-50K,前端开发|Node.js|全栈开发|JavaScript|TypeScript|移动端|小程序,资深前端开发工程师/专家
长沙·雨花区·人民东路,大咖说网络,互联网,本科,3-5年,15-25K,Java|分布式技术|solidity|后端开发|服务端开发,区块链开发工程师
深圳·宝安区·新安,金洋汇创,进出口贸易,本科,1-3年,12-20K·13薪,C++|计算机相关专业|电气电气/自动化相关专业|嵌入式/单片机开发经验|熟悉通信接口|熟悉蓝牙协议|游戏手柄,嵌入式软件开发工程师
桂林·秀峰区·两江四湖,老K游戏,游戏,本科,1-3年,9-14K,C/C++|Lua|JavaScript/TypeScript|计算机/软件工程相关专业|手游开发经验,客户端程序开发工程师
杭州·滨江区·浦沿,杭州炎魂网络,游戏,3个月,4天/周,200-300元/天,Vue|JavaScript|CSS|不接受居家办公,web前端开发工程师（日常实习）
石家庄·新华区·联盟,米玩游戏,游戏,大专,1-3年,3-6K,经济系统搭建|平衡制定|怪物数值设计|横版|第一人称|第三人称|射击游戏|动作冒险|休闲益智|PS|EXCEL|Unity,游戏策划
沈阳·皇姑区·北行,花生文化,游戏,学历不限,1年以内,1000-1500元/周,手游测试经验|主机游戏测试经验|丰富的游戏经验|魔兽，暗黑，逆水寒等,游戏代练
武汉·武昌区·街道口,下划线游戏,游戏,本科,3-5年,15-20K,手绘经验|二次元|角色原画,游戏主美
西安·雁塔区·电子城,西安创天网络,游戏,大专,经验不限,3-6K,主机游戏测试经验|软件测试经验|黑盒测试|游戏测试,游戏测试
杭州,杭州山海星辰文化科技,文化艺术/娱乐,本科,3-5年,10-15K,游戏美术|UI|手绘,游戏美术
珠海,珠海嘉士捷,计算机软件,大专,1-3年,6-10K,游戏|产品设计|项目管理|游戏系统策划|游戏文案策划,游戏策划
厦门·集美区·灌口,艺游止境,游戏,学历不限,经验不限,13-26K,仙侠风|PS|游戏设计|shader|特效设计|游戏,游戏特效
广州·南沙区·黄阁,peropero,游戏,本科,1-3年,6-8K·13薪,计算机相关专业|手游测试经验|主机游戏测试经验,游戏测试
青岛·市南区·香港中路,金东,社交网络与媒体,大专,5-10年,15-20K,UE4|VR大空间,游戏编剧
上海·普陀区·长寿路,上海石中,游戏,学历不限,1-3年,8-13K,音乐游戏|休闲益智|模拟经营|策划|休闲游戏|游戏策划,游戏策划
天津·武清区·下朱庄,天津泽诚达物流服务,文化艺术/娱乐,初中及以下,1-3年,3-8K,游戏内容运营|主机游戏|手游|端游|不接受居家办公,游戏专员
上海·浦东新区·张江,三九互娱,游戏,大专,3-5年,15-25K·13薪,C++|MFC,游戏c++
泉州·鲤城区·清濛,源之宇宙集团,游戏,大专,1-3年,20-40K·13薪,模拟经营|RPG游戏,游戏主策划
宜昌·西陵区·CBD购物中心,昆明服荣,游戏,学历不限,经验不限,20-25元/时,手游|端游|玩家拉新|用户拉新经验|文案能力,游戏推广专员
深圳·南山区·科技园,非凡互娱,游戏,大专,1-3年,12-18K,资深游戏玩家|不接受居家办公|游戏内容运营|手游|卡牌/战棋,游戏运营
香港,成都无敌勇士科技公司,移动互联网,本科,3-5年,30-60K,社交产品|休闲游戏|slot,游戏产品经理
赣州·章贡区·华坚路及周边,亲竹科技,游戏,大专,1-3年,6-11K·13薪,交互设计|原型设计|客户端|游戏端|移动端|图标设计|切图和标注|界面设计|PS|Sketch,游戏ui
厦门·集美区·杏林,厦门巴掌互动,游戏,大专,经验不限,12-20K·13薪,品牌合作（商务方向）|互联网/科技|拜访|对企业/机构（To B）销售经验|商务谈判能力|渠道开发能力|底薪提成制|主流硬核长尾,游戏发行商务
长沙·天心区·金盆岭,长沙市开福区丁丁...,游戏,本科,3-5年,15-30K,主美,长沙游戏主美
惠州·惠城区·河南岸,惠州文泰教育,培训/辅导机构,学历不限,经验不限,5-10K,游戏内容运营|游戏社群/用户运营|游戏活动运营|手游|端游|页游|渠道推广经验|不接受居家办公,游戏运营
西安·灞桥区·浐灞半岛,看个号,游戏,中专/中技,经验不限,4-6K,互联网/科技|沟通能力|服务意识|网络营销能力|个人（To C）|协助维护客户关系|基本坐班|网络销售|游戏销售|助理,游戏业务助理
沈阳·沈河区·奉天街,沈阳市沈河区武翎...,游戏,学历不限,经验不限,5-10K,游戏营销经验|不内向|语言流畅,游戏推广专员
广州·天河区·东圃,上海越山,游戏,学历不限,经验不限,10-15K,手游|多风格擅长|游戏原画经验,游戏界面设计师
南昌·红谷滩区·万达广场,神正,移动互联网,大专,经验不限,8-10K,产品设计,游戏策划
南宁·青秀区·民族大道,广西轻游科技,游戏,本科,1-3年,3-6K,公式设计|平衡制定|横版|第三人称|休闲益智|体育/竞技,游戏主策划
上海·杨浦区·五角场,优墨科技,文化艺术/娱乐,大专,1-3年,11-18K,游戏场景|游戏特效,游戏技术美术
吉林·船营区·光华路,濮阳市云游网络科技,互联网,学历不限,经验不限,20-25元/时,手游|端游|页游|玩家拉新|游戏销售|游戏营销经验|用户拉新经验,线上游戏推广
南京·建邺区·奥体,江大搏达,游戏,学历不限,3-5年,15-25K,游戏|动画动漫|动画设计|游戏设计|游戏角色设计|原画师,游戏原画师
北京·昌平区·霍营,畅游视界,游戏,本科,1-3年,15-25K,系统策划|游戏策划,游戏系统策划
上海·徐汇区·漕河泾,千梦,游戏,学历不限,1-3年,15-30K,U3D|Unity 3D,3D游戏特效
厦门·湖里区·禾山,飞鱼科技,游戏,大专,5-10年,30-50K·13薪,微信小游戏|主策划|制作人,游戏制作人
上海·普陀区·长风,波克城市,游戏,本科,1-3年,15-30K·15薪,休闲益智,中级游戏策划
桂林·七星区·彰泰天街,天祺产艺动画,文化艺术/娱乐,本科,1-3年,4-5K·13薪,游戏场景设计|原画设计|3DMax|MAYA|Substance|欧美风格|日韩风格|卡通风格,游戏场景美术师
武汉·江夏区·光谷,武汉型月网络科技...,游戏,本科,1-3年,10-15K·14薪,SLG,资深游戏策划
北京·海淀区·苏州桥,点点互动,游戏,本科,3-5年,15-20K·14薪,手游测试经验,游戏测试QA
深圳·宝安区·西乡,代宝,游戏,学历不限,3-5年,18-25K,3D特效,高级游戏3D特效
青岛,胡莱游戏,游戏,学历不限,经验不限,15-20K,游戏主播|主播|游戏直播|直播运营|带货主播,签约游戏主播
北京,欢乐扬帆,游戏,本科,5-10年,30-50K·13薪,战斗系统设计|俯瞰|RTS游戏|射击游戏,资深游戏数值策划
广州·天河区·棠下,达人游戏,游戏,大专,3-5年,10-15K,休闲益智,高级游戏ui设计师
上海·徐汇区·漕河泾,天津派云科技,游戏,本科,3-5年,10-15K,游戏活动运营|手游|MOBA游戏,游戏活动运营
福州·闽侯县·福州国家高新软件园,鼎裕网络,游戏,学历不限,经验不限,8-12K,提供实习证明|手游|页游|海外市场推广|端游|游戏营销经验|不限|玩家拉新|用户拉新经验,游戏推广专员
成都·武侯区·新会展中心,水熊互动,互联网,大专,1-3年,8-13K·13薪,游戏前端|JavaScript|HTML5|CSS|游戏开发经验,中、高级游戏客户端
重庆·渝中区·解放碑,天心同游,游戏,学历不限,5-10年,15-20K,游戏角色原画|游戏道具原画|游戏场景原画|游戏公司|不接受居家办公|游戏主美|水墨古风|角色原画,游戏原画主美
北京·海淀区·清河,好未来,互联网,本科,5-10年,35-60K·14薪,休闲益智,资深游戏策划师
广州·天河区·小新塘,嘻空网络科技有限公司,计算机软件,大专,1-3年,8-13K,界面设计|游戏界面|手绘,游戏界面设计师
绍兴,或非,互联网,大专,3-5年,25-30K,C++|HTML,游戏主程序
张家口·桥东区·胜利中路,雷塔科技,游戏,学历不限,3-5年,9-14K,3D场景,游戏场景组长
上海·长宁区·仙霞,友塔游戏,游戏,本科,1-3年,12-20K·14薪,游戏项目管理|美术经理|美术项目管理,游戏美术经理（APM）
杭州·拱墅区·文一路,翎惠信息,移动互联网,本科,3-5年,30-35K,SDK游戏产品,游戏平台产品经理
深圳·南山区·科技园,卓易非同,游戏,本科,1-3年,12-18K,经济系统搭建|第三人称|模拟经营,游戏系统策划
广州·天河区·岗顶,反转月球,互联网,本科,5-10年,20-30K,后端工程师|Java|Spring|C/C++|计算机/软件工程相关经验|中大型项目架构设计经验|团队管理经验,java游戏服务端主程
宜春,暴鑫网络,游戏,学历不限,经验不限,5-10K,手游|国内|渠道推广|玩家拉新|用户拉新经验|月薪上万不是梦,游戏推广（无限高薪）
北京·东城区·安定门,赛诺斯科技,移动互联网,本科,3-5年,20-40K,sdk|商业产品,游戏SDK产品经理
泉州·丰泽区·黎明大学,猎魔者软件开发,游戏,本科,3-5年,7-12K,PhotoShop|原画设计|插画设计|游戏设计|欧美风格|卡通风格|日韩风格|写实风格,游戏原画培训师
西安·未央区·文景路,陕西云小游网络科技,游戏,本科,5-10年,7-12K,Cocos Creator|C/C++|Objective-C|计算机/软件工程相关专业|手游开发经验,cocos游戏客户端
大连·甘井子区·凌水,梦想齿轮,游戏,学历不限,经验不限,5-10K,游戏角色|游戏场景|游戏界面,2D游戏美术设计师
沈阳·铁西区·保工,海奇网络科技有限公司,互联网,本科,3-5年,10-15K·13薪,游戏端|AI|模拟经营|休闲游戏,高级游戏ui设计师
深圳·南山区·科技园,侠之谷科技,互联网,学历不限,5-10年,16-28K·13薪,3DMax|游戏动作设计|人物动作设计|游戏,游戏3d动作组长
廊坊·三河市·新世界百货燕郊,STEPVR,智能硬件,学历不限,经验不限,6-11K,弹幕游戏,互动游戏测试员
北京·朝阳区·朝外,北京华清飞扬,游戏,本科,5-10年,40-70K·13薪,卡牌/战棋|RPG游戏|slg|融合,游戏制作人（卡牌/SLG项目优先）
长沙·岳麓区·银盆岭,奇焕网络科技,游戏,学历不限,经验不限,20-30K·16薪,高级经理,游戏公司创始人，合伙人（美术）
广州·天河区·车陂,金山西山居,游戏,本科,1-3年,18-35K,数据分析能力|游戏战略分析|游戏分析|SQL,游戏战略分析师（数据方向）
成都·锦江区·春熙路,广州莱优信息科技公司,游戏,本科,1-3年,8-13K,自研项目|手机游戏|项目管理|游戏引擎,游戏项目管理（自研项目 稳定盈利）
东莞·塘厦镇·观澜湖,东莞市星辰互动电子,电子/半导体/集成电路,本科,3-5年,18-22K,游戏周边,游戏类外设产品经理
济南·长清区·长清大学城,橙纸互动,游戏,大专,3-5年,7-10K,游戏设计|游戏角色设计|游戏场景设计|卡通风格|简约风格|二次元风格|中国风格|写实风格,高级游戏场景原画师
深圳·南山区·科技园,深圳冰川网络,游戏,本科,3-5年,20-30K,RPG游戏|模拟经营|卡牌/战棋|掌握小语种|英语可作为工作语言|数据分析能力,海外游戏运营（产品or发行）
郑州·金水区·CBD,炽梦科技,游戏,大专,3-5年,8-12K·13薪,模拟经营|战斗系统设计|美术需求把控,游戏系统策划（农场模拟经营方向）
武汉·洪山区·光谷,卓讯互动,移动互联网,大专,3-5年,9-14K·13薪,RPG游戏|卡牌/战棋|棋牌游戏|休闲游戏|放置卡牌,休闲、棋牌游戏系统策划
西安·雁塔区·曲江新区,聚猩智媒,互联网,大专,1-3年,5-7K,短视频|AE|达芬奇|剪辑|调色|音乐|网感好|游戏|FPS,短视频后期剪辑（游戏）
广州·天河区·棠下,星邦互娱,游戏,本科,5-10年,20-30K,数据分析能力|游戏内容运营|手游|RPG游戏|游戏运营|产品运营|运营主管,游戏运营经理/总监（产品向）
武汉·洪山区·东亭,斯芬克,培训/辅导机构,本科,经验不限,15-25K,MOBA游戏|RPG游戏|RTS游戏|VR|动效设计|三维设计,游戏设计作品集辅导导师（武汉）
长春·南关区·桂林路,蓝龙科技,游戏,高中,经验不限,6-11K,手游|页游|游戏服务|坐班全职,4星酒店寝室招聘游戏gs神级待遇
深圳·南山区·科技园,软通动力,计算机软件,大专,1-3年,7-12K,游戏活动运营|游戏社群/用户运营|游戏内容运营|手游|端游|射击游戏|留学生优先|掌握小语种|英语可作为工作语言|俄语|日语|葡萄牙语,腾讯FPS游戏活动运营（天美光子魔方）
北京,英雄互娱,游戏,本科,5-10年,22-40K,沙盒游戏|游戏系统策划组长,游戏系统策划组长-UE4沙盒开放世界项目
南京·雨花台区·小行,勤泽文化,智能硬件,大专,1年以内,3-5K,Unity3D|计算机/软件工程相关专业|软件开发经验,软件工程师
天津·南开区·学府街,孺子研学,培训/辅导机构,本科,经验不限,10-11K,博物馆课程,课程研发
深圳·南山区·科技园,吉比特,游戏,本科,5-10年,60-80K·16薪,Java|Objective-C|Swift|Kotlin,平台研发负责人
成都·武侯区·中和,成都战巡,互联网,本科,5-10年,25-35K,MySQL/Redis/MongoDB|计算机相关专业|JS|Erlang|游戏开发,Erlang开发（中高级）
南京·雨花台区·安德门,华为技术有限公司,计算机软件,本科,经验不限,15-30K,游戏引擎|游戏开发|OpenGL|C++|C|QT|桌面开发,c/c++开发
北京·朝阳区·望京,阿里巴巴集团,互联网,本科,1-3年,15-25K,测试|测试工程师|自动化测试|移动端|Web端|游戏|测试开发|APP测试,测试开发
泸州·江阳区·环球生活广场,飞蚪互娱,游戏,大专,1-3年,7-8K,Vue|HTML5,前端开发
杭州·萧山区·钱江世纪城,九玩网络,游戏,本科,3-5年,20-30K,虚幻,UE4开发
成都·武侯区·中和,成都银河,计算机软件,本科,5-10年,20-30K·13薪,Golang|Golang服务端开发经验,Golang服务器开发（高级）
